d0,d1,d2,d3,d4,d5,d6,d7,RD,WR,cs,A0,A1,A2,A3,A4,A5,A6,A7,,A,D,RD,WR,CS
0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,FF,C4,0,0,0
0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,,D9,C4,0,0,0
0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,,D9,34,0,1,0
0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,,22,34,0,0,0
0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,,22,C4,1,0,0
0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,,23,C4,0,0,0
1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,,23,07,1,0,0
1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,,24,07,0,0,0
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,,24,86,1,0,0
0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,,25,86,0,0,0
1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,,25,07,1,0,0
1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,,26,07,0,0,0
0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,,26,10,1,0,0
0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,,27,10,0,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,,27,33,1,0,0
1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,,28,33,0,0,0
0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,,28,C4,1,0,0
0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,FF,C4,0,0,0
0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,FF,C4,0,0,0
0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,,D9,C4,0,0,0
0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,,D9,34,1,0,0
0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,,29,34,0,0,0
0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,,29,F8,1,0,0
0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,,2A,F8,0,0,0
1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,,2A,1B,1,0,0
1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,,2B,1B,0,0,0
1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,,2B,97,1,0,0
1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,,2C,97,0,0,0
0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,,2C,AC,1,0,0
0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,,AC,AC,0,0,0
1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,,AC,33,0,1,0
1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,,2D,33,0,0,0
0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,,2D,DC,1,0,0
0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,,2E,DC,0,0,0
0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,,2E,A6,1,0,0
0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,,A6,A6,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,,A6,00,1,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,,A7,00,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,,A7,00,1,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,,2F,00,0,0,0
1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,,2F,ED,1,0,0
1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,,30,ED,0,0,0
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,,30,01,1,0,0
1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,01,0,0,0
1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,01,0,0,0
1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,01,01,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,01,00,0,1,1
0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,02,00,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,02,00,0,1,1
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,,31,00,0,0,0
0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,,31,DC,1,0,0
0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,,32,DC,0,0,0
0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,,32,A8,1,0,0
0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,,A8,A8,0,0,0
0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,,A8,98,1,0,0
0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,,A9,98,0,0,0
0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,,A9,88,1,0,0
0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,,33,88,0,0,0
1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,,33,ED,1,0,0
1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,,34,ED,0,0,0
1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,,34,03,1,0,0
1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,03,0,0,0
1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,03,0,0,0
1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,,03,03,0,0,1
0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,,03,98,0,1,1
0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,,04,98,0,0,1
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,04,88,0,1,1
0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,,35,88,0,0,0
0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,,35,96,1,0,0
0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,,36,96,0,0,0
0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,,36,AA,1,0,0
0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,,AA,AA,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,,AA,00,1,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,,37,00,0,0,0
1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,,37,A7,1,0,0
1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,,38,A7,0,0,0
1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,,38,05,1,0,0
1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,05,0,0,0
1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,05,0,0,0
1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,,05,05,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,05,00,0,1,1
0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,,39,00,0,0,0
0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,,39,D6,1,0,0
0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,,3A,D6,0,0,0
1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,,3A,A5,1,0,0
1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,,A5,A5,0,0,0
0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,,A5,48,1,0,0
0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,,3B,48,0,0,0
1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,,3B,37,1,0,0
1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,,3C,37,0,0,0
0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,,3C,C4,1,0,0
0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,FF,C4,0,0,0
0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,FF,C4,0,0,0
0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,,D9,C4,0,0,0
0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,,D9,48,0,1,0
0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,,3C,48,0,0,0
0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,,3C,C4,1,0,0
0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,,3D,C4,0,0,0
0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,,3D,70,1,0,0
0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,,3E,70,0,0,0
0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,,3E,86,1,0,0
0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,,3F,86,0,0,0
0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,,3F,70,1,0,0
0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,,40,70,0,0,0
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,40,10,1,0,0
0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,,41,10,0,0,0
1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,,41,33,1,0,0
1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,,42,33,0,0,0
0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,,42,C4,1,0,0
0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,FF,C4,0,0,0
0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,FF,C4,0,0,0
0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,,D9,C4,0,0,0
0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,,D9,48,1,0,0
0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,,43,48,0,0,0
1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,,43,8F,1,0,0
1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,,44,8F,0,0,0
1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,,44,1B,1,0,0
1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,,45,1B,0,0,0
0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,,45,8A,1,0,0
0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,,46,8A,0,0,0
0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,,46,80,1,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,,47,80,0,0,0
1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,,47,A7,1,0,0
1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,,48,A7,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,,48,00,1,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,00,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,00,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,00,00,0,0,1
0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,00,B8,0,1,1
0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,,49,B8,0,0,0
1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,,49,7B,1,0,0
1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,,4A,7B,0,0,0
0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,,4A,F8,1,0,0
0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,,4B,F8,0,0,0
0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,,4B,AC,1,0,0
0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,,AC,AC,0,0,0
1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,,AC,33,1,0,0
1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,,4C,33,0,0,0
1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,,4C,27,1,0,0
1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,,4D,27,0,0,0
1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,,4D,0B,1,0,0
1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,0B,0,0,0
1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,0B,0,0,0
1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,,4E,0B,0,0,0
1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,,4E,7B,1,0,0
1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,,4F,7B,0,0,0
0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,,4F,10,1,0,0
0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,,50,10,0,0,0
0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,,50,AC,1,0,0
0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,,AC,AC,0,0,0
1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,,AC,33,1,0,0
1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,,51,33,0,0,0
1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,,51,27,1,0,0
1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,,52,27,0,0,0
0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,,52,06,1,0,0
0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,06,0,0,0
0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,06,0,0,0
0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,,53,06,0,0,0
